 ssample	analysis_type	class	subclass	subsubclass	LOD	ULOQ	LLOQ
C0	Quantitative	acylcarnitines	AC-small	Carnitine (free)	2.16	120	5
C2	Quantitative	acylcarnitines	AC-small	Short Chain Acylcarnitines	0.12	35	0.4
C3	Quantitative	acylcarnitines	AC-small	Short Chain Acylcarnitines	0.081	15	0.4
C3-DC (C4-OH)	Relative Quantitative	acylcarnitines	AC-small	Short Chain Acylcarnitines	0.059	0	0
C3-OH	Relative Quantitative	acylcarnitines	AC-small	Short Chain Acylcarnitines	0.06	0	0
C3:1	Relative Quantitative	acylcarnitines	AC-small	Short Chain Acylcarnitines	0.07	0	0
C4	Quantitative	acylcarnitines	AC-small	Short Chain Acylcarnitines	0.082	12	0.4
C4:1	Relative Quantitative	acylcarnitines	AC-small	Short Chain Acylcarnitines	0.057	0	0
C5	Quantitative	acylcarnitines	AC-small	Short Chain Acylcarnitines	0.131	12	0.4
C5-DC (C6-OH)	Relative Quantitative	acylcarnitines	AC-small	Short Chain Acylcarnitines	0.057	0	0
C5-M-DC	Relative Quantitative	acylcarnitines	AC-small	Short Chain Acylcarnitines	0.069	0	0
C5-OH (C3-DC-M)	Relative Quantitative	acylcarnitines	AC-small	Short Chain Acylcarnitines	0.085	0	0
C5:1	Relative Quantitative	acylcarnitines	AC-small	Short Chain Acylcarnitines	0.078	0	0
C5:1-DC	Relative Quantitative	acylcarnitines	AC-small	Short Chain Acylcarnitines	0.075	0	0
C6 (C4:1-DC)	Quantitative	acylcarnitines	AC-small	Short Chain Acylcarnitines	0.14	0	0
C6:1	Relative Quantitative	acylcarnitines	AC-small	Short Chain Acylcarnitines	0.066	0	0
C7-DC	Relative Quantitative	acylcarnitines	AC-small	Medium Chain Acylcarnitines	0.059	0	0
C8	Quantitative	acylcarnitines	AC-small	Medium Chain Acylcarnitines	0.207	8	0.2
C9	Relative Quantitative	acylcarnitines	AC-small	Medium Chain Acylcarnitines	0.153	0	0
C10	Quantitative	acylcarnitines	AC-large	Medium Chain Acylcarnitines	0.253	6	0.3
C10:1	Relative Quantitative	acylcarnitines	AC-large	Medium Chain Acylcarnitines	0.297	0	0
C10:2	Relative Quantitative	acylcarnitines	AC-large	Medium Chain Acylcarnitines	0.337	0	0
C12	Quantitative	acylcarnitines	AC-large	Medium Chain Acylcarnitines	0.178	12	0.4
C12-DC	Relative Quantitative	acylcarnitines	AC-large	Medium Chain Acylcarnitines	0.85	0	0
C12:1	Relative Quantitative	acylcarnitines	AC-large	Medium Chain Acylcarnitines	0.218	0	0
C14	Quantitative	acylcarnitines	AC-large	Medium Chain Acylcarnitines	0.118	6	0.4
C14:1	Relative Quantitative	acylcarnitines	AC-large	Medium Chain Acylcarnitines	0.054	0	0
C14:1-OH	Relative Quantitative	acylcarnitines	AC-large	Medium Chain Acylcarnitines	0.068	0	0
C14:2	Relative Quantitative	acylcarnitines	AC-large	Medium Chain Acylcarnitines	0.047	0	0
