metabolite	ISO.1	ISO.2	ISO.3	ISO.4	ISO.5	PDL1.LAG3.1	PDL1.LAG3.2	PDL1.LAG3.4	PDL1.LAG3.5	PDL1.LAG3.6	TH1.1	TH1.2	TH1.3	TH1.4	TH1.5	TH1.PDL1_LAG3.1	TH1.PDL1_LAG3.2	TH1.PDL1_LAG3.3	TH1.PDL1_LAG3.4	TH1.PDL1_LAG3.5
C0	6.96315	6.6679	6.24498	5.87963	6.22048	7.00773	6.68948	6.7466	6.70971	6.56571	6.7209	6.55946	6.16989	6.49336	5.89352	6.90862	7.08356	6.75144	6.91751	7.22936
C2	5.09178	4.99378	4.73131	4.48853	4.66299	5.02444	4.90607	5.09873	5.10904	4.80592	4.56004	4.65299	3.95368	4.91819	3.98069	4.85273	5.08448	5.12517	5.70497	5.39054
C3	-0.0137403	0.251664	-0.125299	0.73924	0.115609	-0.673517	-0.108391	0.118355	-0.0647301	-0.192423	0.129417	0	-0.533181	0.123829	-0.339132	0.399495	0.562702	0.35344	-0.0153741	0.330592
C3-DC (C4-OH)	-0.598703	-0.830674	-1.39838	-0.976244	-1.09441	-1.24355	-0.750177	-0.792988	-1.20525	-0.983103	-1.03777	-1.20147	-1.24218	-0.655783	-1.45194	-0.703331	-0.793172	-0.905765	-0.122848	-0.579753
C3-OH	-3.5987	-3.56828	-3.15526	-3.66969	-3.69738	-3.61591	-3.3757	-3.43954	-3.36397	-3.78815	-3.23849	-3.40022	-3.38975	-3.46546	-3.72596	-3.26323	-3.20611	-3.71369	-3.35465	-2.87609
C3:1	-2.54426	-3.37063	-3.3725	-3.37725	-3.49937	-3.14404	-2.91004	-3.25888	-2.92127	-3.27971	-2.83808	-2.96719	-2.84557	-3.06149	-3.04455	-2.72763	-2.96356	-2.82393	-3.07308	-2.65765
C4	1.27722	1.2651	1.43072	2.39213	1.586	0.902131	1.47136	1.94141	1.49258	1.51187	1.19771	1.42429	1.25914	1.57129	1.01267	1.80194	1.96557	1.96688	1.46474	1.84112
C4:1	-2.90683	-3.11627	-3.3725	-3.29186	-3.24455	-3.06478	-2.84566	-3.25888	-3.17136	-3.20941	-2.77082	-3.21087	-2.981	-2.7572	-3.26134	-2.80466	-2.89163	-3.08852	-2.99019	-2.87609
C5	-0.669786	-0.304415	0.0475846	-0.125462	-0.325996	-0.810957	0.103978	0.118355	-0.475697	-0.230202	-0.609141	-0.318722	-0.892078	-0.326277	-0.87125	-0.0370792	-0.0737006	-0.00863839	-0.0467882	-0.04199
C5-DC (C6-OH)	-2.77558	-2.65202	-3.08939	-2.99425	-3.09614	-3.22758	-2.72524	-2.65505	-2.92127	-3.07793	-2.70685	-2.7593	-2.72194	-2.51301	-3.04455	-2.80466	-2.63745	-3.01772	-2.6347	-2.72679
C5-M-DC	-2.90683	-2.89928	-3.08939	-2.99425	-3.16849	-3.22758	-2.91004	-3.02636	-2.92127	-3.20941	-2.58757	-3.12491	-2.78241	-2.9307	-3.04455	-2.80466	-2.52653	-2.95021	-2.83739	-2.65765
C5-OH (C3-DC-M)	-1.83971	-1.65482	-2.23278	-2.35767	-2.21672	-2.073	-1.70946	-1.95312	-1.9746	-2.19674	-2.03707	-1.80902	-2.14583	-1.89675	-2.22394	-2.02186	-1.74455	-1.94429	-1.94523	-1.85503
C5:1	-3.05122	-3.04035	-2.96583	-2.92873	-3.49937	-3.22758	-2.84566	-3.02636	-3.00021	-3.27971	-2.70685	-2.96719	-2.981	-2.9307	-3.26134	-2.97168	-2.69659	-2.82393	-3.161	-2.59173
C5:1-DC	-2.83971	-3.37063	-3.22419	-3.37725	-3.40947	-3.06478	-2.61446	-2.95696	-2.92127	-3.14224	-2.77082	-3.12491	-2.91167	-2.81238	-2.97947	-2.88585	-2.69659	-2.95021	-3.07308	-2.87609
C6 (C4:1-DC)	-1.49179	-1.10386	-1.79748	-1.51566	-1.64172	-1.64894	-1.50405	-1.26197	-1.13137	-1.64378	-1.65053	-1.53954	-1.67907	-1.17914	-1.90482	-1.47692	-1.21503	-1.4702	-1.04146	-1.1938
C6:1	-3.05122	-3.04035	-3.29649	-2.99425	-3.32472	-3.14404	-2.84566	-2.95696	-3.00021	-3.27971	-2.77082	-2.96719	-2.91167	-2.87013	-3.11298	-2.80466	-2.75848	-3.08852	-2.91178	-2.95709
C7-DC	-3.39225	-2.96814	-3.62715	-3.29186	-3.09614	-3.40958	-3.12338	-2.89095	-2.84619	-3.35344	-2.70685	-3.30239	-3.05388	-2.70437	-3.4283	-2.58451	-2.89163	-3.16296	-2.91178	-2.87609
C8	-1.01374	-1.04504	-1.29889	-1.20138	-1.22844	-0.88455	-1.11189	-1.09832	-0.65891	-1.20298	-1.03777	-0.946523	-0.993611	-1.22541	-1.24631	-0.683955	-1.04735	-1.11344	-0.845187	-0.798194
C9	-1.74455	-2.09033	-2.16221	-2.12238	-2.06831	-2.073	-1.98411	-2.08853	-1.89359	-2.2323	-1.76716	-1.94747	-1.67907	-2.07025	-2.22394	-1.76381	-1.74455	-2.0118	-1.94523	-1.78043
C10	-1.05122	-1.20741	-1.35778	-1.27857	-1.56434	-0.865821	-1.11189	-1.0645	-0.78799	-1.37642	-1.10963	-1.18015	-0.843908	-1.27347	-1.53534	-0.846451	-0.995842	-1.02327	-1.22018	-0.892074
C10:1	-1.19062	-0.765603	-1.26089	-0.944592	-0.938179	-1.00196	-0.911454	-0.700552	-0.52354	-0.983103	-0.75572	-1.40935	-0.722911	-0.860454	-1.31747	-0.485849	-1.11928	-0.654674	-0.882375	-0.643452
C10:2	-0.530958	-0.814136	-0.717434	-0.527726	-0.681619	-0.640985	-0.643666	-0.477476	-0.606741	-0.608597	-0.634602	-0.715174	-0.299729	-0.696156	-0.858236	-0.46907	-0.592233	-0.296	-0.503336	-0.272917
C12	-1.74455	-1.90737	-1.9992	-2.05195	-2.03342	-2.03286	-1.91819	-1.56388	-1.63956	-2.162	-1.67873	-2.18435	-1.89337	-1.76866	-2.087	-1.50992	-1.74455	-1.7881	-1.72729	-1.45697
C12-DC	0.644881	0.568897	0.442931	0.502258	0.359822	0.74523	0.58785	0.416688	0.845838	0.463721	0.519074	0.626912	0.459631	0.243623	0.175347	0.775926	0.538534	0.534722	0.628753	0.795259
C12:1	-1.12922	-1.02594	-1.39838	-1.18272	-1.35382	-0.90351	-1.07641	-0.999278	-0.866922	-1.2213	-0.889175	-1.31318	-0.976177	-1.0096	-1.43188	-0.683955	-1.04735	-0.842658	-1.17339	-0.872794
C14	-1.62672	-1.41427	-1.8806	-1.61283	-1.53942	-1.71202	-1.36782	-1.03149	-1.15561	-1.46039	-1.59589	-1.51253	-1.70778	-0.825809	-1.74455	-1.05311	-1.04735	-1.31255	-0.688724	-0.91162
C14:1	-2.97721	-3.2809	-3.08939	-2.92873	-3.24455	-3.06478	-2.72524	-1.85977	-2.51754	-3.01625	-2.64586	-2.89445	-2.78241	-2.16702	-3.1851	-2.39256	-2.47435	-2.653	-2.69917	-2.46843
C14:1-OH	-2.97721	-3.04035	-3.02632	-2.86612	-3.02716	-2.91751	-2.84566	-2.71028	-2.77461	-2.79197	-2.77082	-2.7593	-2.72194	-2.70437	-3.1851	-2.51776	-2.63745	-2.95021	-2.69917	-2.355
